"País","ISO3","Estado","Producto","Actualización Completo","Actualización regla","Nota"
"Papúa Nueva Guinea","","Activo","png_easy-visitor-60","06/08/2025","","https://visagov.atlassian.net/browse/PRO-499"
"Puerto Rico","","Activo","pri_simple","07/07/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-913"
"Puerto Rico","","Activo","pri_simple_urgent","07/07/2025","05/01/2026","https://visagov.atlassian.net/browse/PRO-913"
"Puerto Rico","","Inactivo","pri_transit","","",""
"Puerto Rico","","Inactivo","pri_transit_urgent","","",""
"Rusia","","Inactivo","rus_far_eastern","","",""
"Rusia","","Inactivo","rus_kaliningrad","","",""
"Rusia","","Inactivo","rus_saint_petersburg","","",""
"Ruanda","","Activo","rwa_east_africa","22/07/2025","","https://visagov.atlassian.net/browse/PRO-357"
"Ruanda","","Activo","rwa_family_30","22/07/2025","","https://visagov.atlassian.net/browse/PRO-357"
"Ruanda","","Activo","rwa_holiday_30","22/07/2025","","https://visagov.atlassian.net/browse/PRO-357"
"Ruanda","","Activo","rwa_multi","22/07/2025","","https://visagov.atlassian.net/browse/PRO-357"
"Ruanda","","Activo","rwa_transit","22/07/2025","","https://visagov.atlassian.net/browse/PRO-357"
"Arabia Saudí","","Activo","sau_tourist","28/08/2025","","https://visagov.atlassian.net/browse/PRO-349"
"Arabia Saudí","","Activo","sau_tourist_urgent","28/08/2025","","https://visagov.atlassian.net/browse/PRO-349"
"Arabia Saudí","","Activo","sau_transit","28/08/2025","","https://visagov.atlassian.net/browse/PRO-349"
"Singapur","","Activo","sgp_electronic_arrival_card","21/08/2025","","https://visagov.atlassian.net/browse/PRO-497"
"Sierra Leone","","Activo","sle_multiple_entry_evisa","20/01/2025","","https://visagov.atlassian.net/browse/VIS-413"
"Sierra Leone","","Activo","sle_single_entry_evisa","20/01/2025","","https://visagov.atlassian.net/browse/VIS-413"
"Tailandia","","Activo","tha_business_multiple","27/05/2025","27/10/2025","https://visagov.atlassian.net/browse/PRO-177"
"Tailandia","","Activo","tha_business_single","27/05/2025","27/10/2025","https://visagov.atlassian.net/browse/PRO-177"
"Tailandia","","Activo","tha_tourist_multiple","27/05/2025","27/10/2025","https://visagov.atlassian.net/browse/PRO-177"
"Tailandia","","Activo","tha_tourist_single","25/07/2025","27/10/2025","https://visagov.atlassian.net/browse/PRO-177"
"Tailandia","","Activo","tha_transit_single","25/07/2025","27/10/2025","https://visagov.atlassian.net/browse/PRO-177"
"Tailandia","","Inactivo","tha_volunteer","","",""
"Tayikistán","","Inactivo","tjk_multiple","","",""
"Tayikistán","","Inactivo","tjk_multiple-gbao","","",""
"Tayikistán","","Inactivo","tjk_single","","",""
"Tayikistán","","Inactivo","tjk_single-gbao","","",""
